Make,Model,Year,Style,Distance,Engine_capacity(cm3),Fuel_type,Transmission,Price(euro),Age,km_year,km_unit
Toyota,Corolla,0.7,Universal,0.19848284828482848,0.25,Diesel,Automatic,0.051603206412825654,0.3,0.24669714428857714,1
Volvo,Rare,0.58,Sedan,0.20261826182618262,0.5416666666666666,Petrol,Automatic,0.03806613226452906,0.42,0.18263618145381671,0
Land Rover,Freelander,0.58,SUV,0.2299229922992299,0.375,Diesel,Manual,0.02555110220440882,0.42,0.20750592093277462,1
BMW,5 Series,0.94,Sedan,0.0819081908190819,0.375,Diesel,Automatic,0.33867735470941884,0.06,0.4088176352705411,2
Volkswagen,Passat,0.48,Universal,0.2502940294029403,0.3333333333333333,Petrol,Manual,0.025050100200400802,0.52,0.18382617086023895,0
KIA,Rare,0.68,Sedan,0.2505570557055706,0.375,Metan/Propan,Manual,0.024949899799599197,0.32,0.2934480726158199,1
Seat,Rare,0.54,Combi,0.29992999299929995,0.3541666666666667,Diesel,Manual,0.012525050100200401,0.46,0.24849699398797595,1
Skoda,Fabia,0.82,Minivan,0.16541654165416542,0.20833333333333334,Diesel,Manual,0.04909819639278557,0.18,0.32965931863727455,1
Mitsubishi,Outlander,0.8,SUV,0.24792479247924792,0.375,Petrol,Automatic,0.09719438877755511,0.2,0.4498087083257424,2
Ford,Focus,0.9,Universal,0.1699169916991699,0.270625,Diesel,Manual,0.08707414829659318,0.1,0.5657982631930527,2
Renault,Megane,0.74,Universal,0.2449244924492449,0.2708333333333333,Diesel,Manual,0.03406813627254509,0.26,0.3486973947895792,1
Honda,Civic,0.56,Universal,0.2899289928992899,0.2708333333333333,Petrol,Manual,0.01603206412825651,0.44,0.25067526357061953,1
Hyundai,Tucson,0.86,Crossover,0.11991199119911991,0.0,Metan/Propan,Automatic,0.11823647294589178,0.14,0.2985971943887776,1
Renault,Rare,0.72,Sedan,0.21092109210921092,0.25,Petrol,Manual,0.027054108216432865,0.28,0.27989311957247826,1
Audi,A4,0.82,Sedan,0.16661666166616662,0.375,Petrol,Automatic,0.10020040080160321,0.18,0.33206412825651305,1
Audi,Rare,0.9,Hatchback,0.14491449144914492,0.25,Electric,Automatic,0.1628256513026052,0.1,0.48229792919171677,2
Lexus,CT Series,0.86,Sedan,0.0816081608160816,0.3333333333333333,Hybrid,Automatic,0.12274549098196393,0.14,0.20265531062124248,1
Toyota,Auris,0.84,Universal,0.14277927792779277,0.25,Diesel,Manual,0.08517034068136273,0.16,0.31610999777332444,1
Vaz,2107,0.72,Sedan,0.13577857785778577,0.25,Petrol,Manual,0.013026052104208416,0.28,0.1795123580494322,0
Renault,Grand Scenic,0.84,Minivan,0.18091809180918092,0.2708333333333333,Diesel,Automatic,0.06813627254509018,0.16,0.4010242707637497,2
